Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Is_Outlier,Year,Week,Month,Month_Sin,Month_Cos,Week_Sin,Week_Cos,Sales_Lag_1,Sales_Lag_52,Sales_Roll_Mean_4,Weeks_From_End
1,2011-02-04,1606629.58,0,42.27,2.989,212.5668812,7.742,False,2011,5,2,0.8660254037844386,0.5000000000000001,0.5680647467311558,0.8229838658936564,1316899.31,1643690.9,1370012.7425,91.0
1,2011-02-11,1649614.93,1,36.39,3.022,212.9367046,7.742,False,2011,6,2,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,1606629.58,1641957.44,1410487.0675,90.0
1,2011-02-18,1686842.78,0,57.36,3.045,213.2478853,7.742,False,2011,7,2,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953,1649614.93,1611968.17,1475137.31,89.0
1,2011-02-25,1456800.28,0,62.9,3.065,213.535609,7.742,False,2011,8,2,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,1686842.78,1409727.59,1564996.65,88.0
1,2011-03-04,1636263.41,0,59.58,3.288,213.8233327,7.742,False,2011,9,3,1.0,6.123233995736766e-17,0.8854560256532099,0.4647231720437686,1456800.28,1554806.68,1599971.8924999998,87.0
1,2011-03-11,1553191.63,0,53.56,3.459,214.1110564,7.742,False,2011,10,3,1.0,6.123233995736766e-17,0.9350162426854148,0.35460488704253557,1636263.41,1439541.59,1607380.35,86.0
1,2011-03-18,1576818.06,0,62.76,3.488,214.3627114,7.742,False,2011,11,3,1.0,6.123233995736766e-17,0.970941817426052,0.23931566428755804,1553191.63,1472515.79,1583274.525,85.0
1,2011-03-25,1541102.38,0,69.97,3.473,214.5999389,7.742,False,2011,12,3,1.0,6.123233995736766e-17,0.992708874098054,0.120536680255323,1576818.06,1404429.92,1555768.3450000002,84.0
1,2011-04-01,1495064.75,0,59.17,3.524,214.8371664,7.682,False,2011,13,4,0.8660254037844387,-0.4999999999999998,1.0,-1.6081226496766364e-16,1541102.38,1594968.28,1576843.87,83.0
1,2011-04-08,1614259.35,0,67.84,3.622,215.0743939,7.682,False,2011,14,4,0.8660254037844387,-0.4999999999999998,0.992708874098054,-0.12053668025532288,1495064.75,1545418.53,1541544.205,82.0
1,2011-04-15,1559889.0,0,71.27,3.743,215.2918561,7.682,False,2011,15,4,0.8660254037844387,-0.4999999999999998,0.9709418174260521,-0.2393156642875575,1614259.35,1466058.28,1556811.135,81.0
1,2011-04-22,1564819.81,0,72.99,3.807,215.4599053,7.682,False,2011,16,4,0.8660254037844387,-0.4999999999999998,0.9350162426854148,-0.35460488704253545,1559889.0,1391256.12,1552578.87,80.0
1,2011-04-29,1455090.69,0,72.03,3.81,215.6279544,7.682,False,2011,17,4,0.8660254037844387,-0.4999999999999998,0.8854560256532099,-0.4647231720437685,1564819.81,1425100.71,1558508.2275,79.0
1,2011-05-06,1629391.28,0,64.61,3.906,215.7960035,7.682,False,2011,18,5,0.49999999999999994,-0.8660254037844387,0.8229838658936565,-0.5680647467311557,1455090.69,1603955.12,1548514.7125,78.0
1,2011-05-13,1604775.58,0,75.64,3.899,215.9640526,7.682,False,2011,19,5,0.49999999999999994,-0.8660254037844387,0.7485107481711013,-0.663122658240795,1629391.28,1494251.5,1552297.695,77.0
1,2011-05-20,1428218.27,0,67.63,3.907,215.7339202,7.682,False,2011,20,5,0.49999999999999994,-0.8660254037844387,0.6631226582407952,-0.7485107481711012,1604775.58,1399662.07,1563519.34,76.0
1,2011-05-27,1466046.67,0,77.72,3.786,215.5037878,7.682,False,2011,21,5,0.49999999999999994,-0.8660254037844387,0.5680647467311558,-0.8229838658936564,1428218.27,1432069.95,1529368.955,75.0
1,2011-06-03,1635078.41,0,83.0,3.699,215.2736553,7.682,False,2011,22,6,1.2246467991473532e-16,-1.0,0.46472317204376906,-0.8854560256532096,1466046.67,1615524.71,1532107.95,74.0
1,2011-06-10,1588948.32,0,83.13,3.648,215.0435229,7.682,False,2011,23,6,1.2246467991473532e-16,-1.0,0.35460488704253584,-0.9350162426854147,1635078.41,1542561.09,1533529.7325,73.0
1,2011-06-17,1532114.86,0,86.41,3.637,214.9980596,7.682,False,2011,24,6,1.2246467991473532e-16,-1.0,0.23931566428755768,-0.970941817426052,1588948.32,1503284.06,1529572.9175,72.0
1,2011-06-24,1438830.15,0,83.58,3.594,215.0910982,7.682,False,2011,25,6,1.2246467991473532e-16,-1.0,0.12053668025532308,-0.992708874098054,1532114.86,1422711.6,1555547.065,71.0
1,2011-07-01,1488538.09,0,85.55,3.524,215.1841368,7.962,False,2011,26,7,-0.4999999999999997,-0.8660254037844388,-3.216245299353273e-16,-1.0,1438830.15,1492418.14,1548742.935,70.0
1,2011-07-08,1534849.64,0,85.83,3.48,215.2771754,7.962,False,2011,27,7,-0.4999999999999997,-0.8660254037844388,-0.12053668025532283,-0.992708874098054,1488538.09,1546074.18,1512107.855,69.0
1,2011-07-15,1455119.97,0,88.54,3.575,215.3611087,7.962,False,2011,28,7,-0.4999999999999997,-0.8660254037844388,-0.23931566428755743,-0.9709418174260521,1534849.64,1448938.92,1498583.185,68.0
1,2011-07-22,1396926.82,0,85.77,3.651,215.4222784,7.962,False,2011,29,7,-0.4999999999999997,-0.8660254037844388,-0.3546048870425356,-0.9350162426854148,1455119.97,1385065.2,1479334.4625000001,67.0
1,2011-07-29,1352219.79,0,86.83,3.682,215.4834482,7.962,False,2011,30,7,-0.4999999999999997,-0.8660254037844388,-0.46472317204376806,-0.8854560256532101,1396926.82,1371986.6,1468858.63,66.0
1,2011-08-05,1624383.75,0,91.65,3.684,215.544618,7.962,False,2011,31,8,-0.8660254037844384,-0.5000000000000004,-0.5680647467311556,-0.8229838658936565,1352219.79,1605491.78,1434779.0550000002,65.0
1,2011-08-12,1525147.09,0,90.76,3.638,215.6057878,7.962,False,2011,32,8,-0.8660254037844384,-0.5000000000000004,-0.663122658240795,-0.7485107481711013,1624383.75,1508237.76,1457162.5825,64.0
1,2011-08-19,1530761.43,0,89.94,3.554,215.6693107,7.962,False,2011,33,8,-0.8660254037844384,-0.5000000000000004,-0.7485107481711011,-0.6631226582407952,1525147.09,1513080.49,1474669.3625,63.0
1,2011-08-26,1464693.46,0,87.96,3.523,215.7332258,7.962,False,2011,34,8,-0.8660254037844384,-0.5000000000000004,-0.8229838658936564,-0.5680647467311559,1530761.43,1449142.92,1508128.0150000001,62.0
1,2011-09-02,1550229.22,0,87.83,3.533,215.7971409,7.962,False,2011,35,9,-1.0,-1.8369701987210297e-16,-0.8854560256532096,-0.4647231720437691,1464693.46,1540163.53,1536246.4324999999,61.0
1,2011-09-09,1540471.24,1,76.0,3.546,215.861056,7.962,False,2011,36,9,-1.0,-1.8369701987210297e-16,-0.9350162426854147,-0.3546048870425359,1550229.22,1507460.69,1517707.8,60.0
1,2011-09-16,1514259.78,0,79.94,3.526,216.0410526,7.962,False,2011,37,9,-1.0,-1.8369701987210297e-16,-0.970941817426052,-0.23931566428755774,1540471.24,1430378.67,1521538.8375,59.0
1,2011-09-23,1380020.27,0,75.8,3.467,216.3758246,7.962,False,2011,38,9,-1.0,-1.8369701987210297e-16,-0.992708874098054,-0.12053668025532357,1514259.78,1351791.03,1517413.425,58.0
